0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.60636693,-0.07053332,0.21291465,-0.9576241,-1.0448356,-0.06878931,0.82311267,-0.4166465,0.706649,-0.010785586,0.7653571,0.35715628,0.75679207,0.6518893,0.35771742,0.6066796
-0.27431655,-0.7954031,-0.7501586,-0.13065277,0.4730904,-0.14539772,0.67666113,-0.5138513,-0.29699153,-1.1010774,1.6276293,-0.12100891,1.4451064,-0.408935,0.41744763,0.8920235
1.1488465,0.29525524,-0.26979467,-0.2932412,-0.104642324,1.3283861,0.7669905,-0.7190698,-0.52333105,-1.2353239,0.94091034,-0.09594746,0.5552064,-1.3045987,-0.2778668,-0.2378673
0.16645797,0.52635705,2.0496984,-0.009192125,-1.0810562,0.04925745,-0.17823924,-0.41741377,0.5613002,-1.2222258,0.44338986,-0.43826425,1.1807384,0.064314194,-0.742093,-0.5423928
1.0588915,-0.44293085,-1.0015554,0.51690155,0.02213231,-0.30648425,0.29713517,-0.37729305,0.37467527,-0.8093049,1.0363059,-0.10023038,0.036237717,-0.3515788,0.872669,-0.18738575
-0.45933193,-1.2041401,0.39763656,-0.4703534,1.144092,-0.15575498,-0.64646626,-1.0538901,1.2410626,0.060472917,-0.42455688,-0.20105721,0.7650066,-1.1838964,0.16625004,-1.3198714
0.5682299,0.085618004,-0.37242347,0.42366758,0.26735392,0.3155887,-0.23009726,-0.15363933,-0.12824199,-1.3203984,1.3890569,-0.11751919,1.2374058,-0.4451808,0.74990416,1.1074361
-0.6360935,0.68904483,-0.13382296,0.7788734,-0.5780567,0.34605882,0.46445405,-1.2372934,0.7731779,0.5665321,0.056808095,-0.5489497,-0.17191456,0.4580921,0.8319936,1.0466506
-0.29536584,0.105033375,1.2710361,0.4721047,0.65165347,-0.73382974,1.0648278,0.29709002,-1.1821795,-1.1683244,0.029291706,0.25448743,0.18391894,-0.8628912,0.070202775,0.03128033
-0.8443767,-0.2743034,2.03182,-0.31628987,0.10058638,0.8834145,-0.4552236,0.20541821,0.8250054,-1.075043,0.9836132,-0.27145904,-0.869394,0.35646108,-0.07385215,0.9220257
0.038546372,-0.6663533,-0.53601515,-0.6293892,-0.1123257,0.67840225,-0.12871408,-0.502071,-0.5706257,-1.5728211,0.9960281,-1.0140957,0.16549183,-1.4717886,0.2568284,0.98795265
0.16427313,0.5395086,2.1680193,0.0007701722,-1.1231396,0.07032888,-0.18580131,-0.4163575,0.58975965,-1.2923137,0.47292984,-0.45972136,1.2576559,0.05302472,-0.77369565,-0.5588068
-0.14812982,-0.5055029,0.37044773,0.47826654,-0.25699443,-0.73220575,-0.7080867,0.25612003,-0.26685554,0.46327177,0.025000475,-0.87160033,0.11249566,-1.0358312,-0.61858016,0.5488115
0.36283445,0.47910154,-0.37229848,0.8219657,-1.1182314,-0.18526313,0.7376266,0.16019955,-0.49222925,-0.170274,-0.19045784,0.4149205,-0.35581815,0.10734979,0.63899344,0.79647166
0.19875851,0.3945816,-0.33638135,-0.55937856,-0.92841727,-0.12874284,1.045157,-0.6572128,0.9290208,-0.45004135,0.48531878,0.40275607,0.13001055,0.6147173,0.44204774,0.409332
0.99005574,0.29949772,-0.47471276,0.8043613,-0.17383386,1.4444791,-0.6439559,-0.31208462,-0.43959206,0.43626434,0.9962274,0.34978837,1.1444738,0.11550522,0.5023238,-0.44496334
-0.6255531,-0.2551411,-0.9046964,0.5621595,0.6364802,-0.1186912,-0.2167002,0.6942743,0.7881292,-0.39741358,0.566702,-0.44724387,0.6814108,-0.8042382,-0.5129122,0.17957886
-0.54027,0.40643308,1.4440639,-0.7445816,-0.15061973,-0.08523315,0.16522673,0.16466463,0.17987461,-0.068520665,-0.013459392,0.18493822,-1.0890313,-0.46958563,0.7279196,-0.18709135
0.646109,-0.29444188,-0.5105016,0.40574345,-0.3964654,-0.8764127,1.0999658,0.74666363,0.44092482,-0.16176671,-0.59623003,-0.7868127,0.5181333,-0.35914236,-0.41937566,-0.47439903
-0.5450194,0.46294406,0.6249075,1.2107974,-0.3253898,-0.08452068,0.26846462,-0.5226841,-0.2753715,0.634003,-0.16806707,-1.0506262,-0.87751204,0.9751701,0.040945034,-0.2513811
0.997718,0.1625351,-0.5664163,0.44541124,0.52642435,0.1414992,0.61564386,-0.5133307,0.3106873,-1.3625606,1.0574175,-0.25204855,0.5348601,-0.66210276,1.0171838,0.047048233
-0.04476138,0.75059044,-0.35694197,0.1929775,-0.31249672,0.796064,0.100555584,-0.56897575,-0.8778636,0.45316264,0.1539151,0.5732317,0.71015614,-0.82553625,-0.38229495,-0.17480797
-0.18746994,1.0213218,-0.09189313,-0.27329293,0.40546742,-0.39128536,1.4531615,0.38890523,0.56172425,-0.10943741,0.4449437,0.93767285,-0.7837058,-0.3027391,-0.75294054,0.3318119
-0.67172945,-0.18293098,0.097104594,-0.40965763,1.5391381,-0.30263254,-0.36774018,-0.77290076,1.1902266,0.3387628,0.8255236,-0.69074506,0.14776301,-1.7482488,-0.54498416,-0.6521074
-0.7224573,-0.08714846,2.0817997,-0.15850233,0.43424866,0.7575566,-0.25990477,0.34261203,0.7773792,-1.3126103,0.9613546,0.17231868,-0.512579,0.10875826,0.043514963,1.2047889
-0.9251054,-0.28215238,-0.11285515,0.8677733,0.78085214,0.50248325,0.6015558,-0.87206596,0.8550075,0.8617546,0.04173121,1.0730944,-0.43043,0.13956314,0.49409667,-0.5014665
-0.17228286,-0.59989285,0.44749787,0.47557417,-0.31077254,-0.835634,-0.8433441,0.30148348,-0.28378907,0.5744568,0.061749365,-0.92480206,0.07367503,-1.1667136,-0.72127694,0.6061786
0.4311162,-0.6640338,-1.2567129,1.0557914,-0.09580375,0.64758635,-0.5450397,-0.020467507,-0.53088444,0.572722,-0.8778645,-0.24176604,1.1254007,0.6130483,-0.12090111,-0.17940614
0.063864455,1.3365644,-0.28157932,-0.16490462,0.21380217,-0.65171826,2.0512125,0.7003599,0.3735712,-0.2326301,0.7779614,0.15517735,-1.0586542,-0.34402472,-0.5882167,0.6143036
-0.42484105,-0.56272787,-0.8754732,0.5034005,0.0118080145,-0.5536274,-0.8124416,-0.48266983,0.8903068,0.5798212,1.1213694,1.333592,-0.31114978,0.6944981,1.0249639,0.47329274
0.5669846,0.95184696,0.71951157,-0.62926686,0.66796607,1.3542455,0.040787015,0.39850953,0.3144882,-1.1161085,-0.17197675,-0.069117524,1.4967227,-0.67243576,0.2646408,0.6183408
